station_id,long_name,short_name
S06005,CARRARA AVENZA,Carrara Avenza
S08533,CARRITO-ORTONA,Carrito-Ortona
S12326,CARRUBA,Carruba
S00738,CARRU` CLAVESANA,Carru' Clavesana
S08519,CARSOLI,Carsoli
S01091,CARUGO - GIUSSANO,Carugo-Giussano
S08730,CASABIANCA,Casabianca
S09465,CASACALENDA GUARDIALFIERA,Casacalenda G.
S11309,CASAL SABINI,Casal Sabini
S07821,CASALBORDINO POLLUTRI,Casalbordino P.
S09910,CASALBUONO,Casalbuono
S01609,CASALBUTTANO,Casalbuttano
S00314,CASALE MONFERRATO,CASALE MONFERR.
S00179,CASALE POPOLO,Casale Popolo
S05101,CASALECCHIO DI RENO,Casalecchio R.
S05111,CASALECCHIO GARIBALDI,CASALECCHIO G.
S05968,CASALECCHIO PALASPORT,Casalecchio P.rt
S00972,CASALEGGIO,Casaleggio
S09922,CASALETTO,Casaletto
S01604,CASALETTO VAPRIO,Casaletto Vaprio
S05982,CASALGRANDE,Casalgrande
S01850,CASALMAGGIORE,Casalmaggiore
S09216,CASALNUOVO,Casalnuovo
S01827,CASALPUSTERLENGO,CASALPUSTERLENGO
S13099,CASAMASSIMA,Casamassima
S13157,CASARANO,CASARANO
S02830,CASARSA,CASARSA
S06505,CASCINA,Cascina
S00087,CASELLE TORINESE,Caselle Torinese
S02836,CASELLO 11,Casello 11
S02838,CASELLO 8,Casello 8
S07027,CASELLO KM 19,Casello Km 19
S09211,CASERTA,CASERTA
S05184,CASINALBO,Casinalbo
S06751,CASINO DI TERRA,Casino di Terra
S01457,CASLETTO-ROGENO,Casletto-Rogeno
S01758,CASLINO AL PIANO,Caslino al Piano
S01098,CASLINO D'ERBA,Caslino D`erba
S07991,CASOLI,Casoli
S01029,CASORATE SEMPIONE,Casorate Semp.
S09009,CASORIA-AFRAGOLA,Casoria
S01490,CASSAGO-NIBIONNO-BULCIAGO,Cassago-N.-B.
S11900,CASSANO ALL`IONIO,Cassano
S01707,CASSANO D'ADDA,Cassano d`Adda
S09611,CASSANO IRPINO,Cassano Irpino
S00864,CASSINE,Cassine
S08671,CASSINO,CASSINO
S02506,CASSOLA,Cassola
S02368,CASTAGNARO,Castagnaro
S06029,CASTAGNETO CARDUCCI-DONORATICO,Castagneto C.
S05122,CASTAGNO,Castagno
S00828,CASTAGNOLE DELLE LANZE,CASTAGNOLE
S01752,CASTANO PRIMO,Castano Primo
S01942,CASTEGGIO,Casteggio
S01795,CASTEGNATO,Castegnato
S08114,CASTEL BAGNOLO DI ORTE,Castel Bagnolo
S02382,CASTEL D'ARIO,Castel d`Ario
S08910,CASTEL DI SANGRO,Castel di Sangro
S07987,CASTEL FRENTANO,Castel Frentano
S08703,CASTEL GANDOLFO,Castel Gandolfo
S11212,CASTEL LAGOPESOLE,Castel Lagopes.
S08510,CASTEL MADAMA,Castel Madama
S07407,CASTEL S.ANGELO,Castel S.Angelo
S09704,CASTEL S.GIORGIO ROCCAPIEMONTE,Castel S.Giorgio
S01948,CASTEL S.GIOVANNI,Castel S.Giovan.
S05053,CASTEL S.PIETRO TERME,Castel S.P.
S02208,CASTELBELLO,Castelbello
S05056,CASTELBOLOGNESE-RIOLO TERME,CASTELBOLOGNESE
S12020,CASTELBUONO,Castelbuono
S12010,CASTELDACCIA,Casteldaccia
S02105,CASTELDARNE,Casteldarne / Ehrenburg
S05102,CASTELDEBOLE,Casteldebole
S07200,CASTELFERRETTI-FALCONARA AEROPORTO,Castelf-Falc.Aer
S06802,CASTELFIORENTINO,Castelfiorentino
S09609,CASTELFRANCI,Castelfranci
S05037,CASTELFRANCO EMILIA,CASTELFRANCO E.
S09323,CASTELFRANCO IN MISCANO,Castelfranco M.
S02537,CASTELFRANCO VENETO,CASTELFRANCO V.
S05012,CASTELGUELFO,Castelguelfo
S00343,CASTELL'ALFERO,Castell`Alfero
S07901,CASTELLALTO CANZANO,Castellalto C.
S12120,CASTELLAMMARE DEL GOLFO,Castellammare G.
S09756,CASTELLAMMARE DI STABIA,CAST.RE DI STAB.
S13122,CASTELLANA GROTTE,Castellana Grot.
S11507,CASTELLANETA,Castellaneta
S11463,CASTELLANETA MARINA,Castellaneta M.
S01136,CASTELLANZA,Castellanza
S04000,CASTELLAZZO CASALCERMELLI,Castellazzo C.
S01606,CASTELLEONE,Castelleone
S00720,CASTELLETTO BUSCA,Castellet. Busca
S01123,CASTELLETTO TICINO,Castelletto Tic.
S06808,CASTELLINA IN CHIANTI-MONTERIGGIONI,Castellina Ch.
S06024,CASTELLINA MARITTIMA,Castellina Marit
S00741,CASTELLINO TANARO,Castellino T.
S00465,CASTELLO D'ANNONE,Castel.d`Annone
S02507,CASTELLO DI GODEGO,Castello Godego
S01923,CASTELLUCCHIO,Castellucchio
S09920,CASTELLUCCIO,Castelluccio
S05724,CASTELMAGGIORE,CASTELMAGGIORE
S00836,CASTELNUOVO BELBO,Castelnuovo B.
S06812,CASTELNUOVO BERARDENGA,Castelnuovo Ber.
S02093,CASTELNUOVO DEL GARDA,Castelnuovo D.G.
S06300,CASTELNUOVO DI GARFAGNANA,Castelnuovo Gar.
S07204,CASTELPLANIO CUPRAMONTANA,Castelplanio C.
S07302,CASTELRAIMONDO CAMERINO,Castelraimondo
S00233,CASTELROSSO,Castelrosso
S04001,CASTELSPINA PORTANOVA,Castelspina P.
S06302,CASTELVECCHIO PASCOLI,Castelvecchio P.
S09608,CASTELVETERE,Castelvetere
S12113,CASTELVETRANO,Castelvetrano
S01960,CASTELVETRO,CASTELVETRO
S05995,CASTENASO,Castenaso
S05994,CASTENASO STELLINA,Castenaso Stel.
S06923,CASTIGLION DEL LAGO,Castigl.del lago
S06920,CASTIGLION FIORENTINO,Castigl.Fiorent.
S06729,CASTIGLIONCELLO,Castiglioncello
S11909,CASTIGLIONE COSENTINO,CASTIGLIONE C.
S12362,CASTIGLIONE DI SICILIA,Castiglione di S
S08205,CASTIGLIONE IN TEVERINA,Castiglione in T
S01429,CASTIONE ANDEVENNO,Castione A.
S01964,CASTIONE DEI MARCHESI,Castione d.March
S08663,CASTRO-POFI-VALLECORSA,Castro-Pofi
S01208,CASTRONNO,Castronno
S12337,CATANIA ACQUICELLA,Catania Acq.lla
S12336,CATANIA AEROPORTO FONTANAROSSA,CataniaAeroporto
S12332,CATANIA CENTRALE,CATANIA CENTRALE
S11956,CATANZARO,Catanzaro
S11833,CATANZARO LIDO,CATANZARO LIDO
S12244,CATENANUOVA-CENTURIPE,Catenanuova
S07102,CATTOLICA S.GIOVANNI GABICCE,Cattolica S.G.G.
S11846,CAULONIA,Caulonia
S00279,CAVA CARBONARA,CAVA CARBONARA
S09816,CAVA DEI TIRRENI,Cava Dei Tirreni
S01914,CAVA TIGOZZI,Cava Tigozzi
S00423,CAVAGNOLO BRUSASCO,Cavagnolo Brus.
S09113,CAVALLEGGERI AOSTA,Cavalleggeri A.
S00603,CAVALLERMAGGIORE,CAVALLERMAGGIORE
S05425,CAVANELLA D'ADIGE,Cavan.Adige
S05422,CAVANELLA PO,Cavanella Po
S01210,CAVARIA OGGIONA IERAGO,Cavaria Oggiona
S02847,CAVARZERE CENTRO,Cavarzere Centro
S02147,CAVAZZALE,Cavazzale
S04724,CAVI,Cavi
S05932,CAVRIAGO,Cavriago
S05931,CAVRIAGO S.NICOLO',Cavriago S.N.
S01790,CAZZAGO SAN MARTINO,Cazzago S.Mart.
S06044,CA` DI BOSCHETTI,Ca`di Boschetti
S08664,CECCANO,Ceccano
S08732,CECCHINA,Cecchina
S06026,CECINA,CECINA
S01769,CEDEGOLO,Cedegolo
S12019,CEFALU',Cefalu`
S02665,CEGGIA,Ceggia
S13107,CEGLIE MESSAPICA,Ceglie Messapica
S08528,CELANO-OVINDOLI,Celano-Ovindoli
S04530,CELLE,Celle
S11716,CELLE BULGHERIA ROCCAGLORIOSA,Celle Bulgheria
S00745,CENGIO,Cengio
S00608,CENTALLO,Centallo
S11715,CENTOLA-PALINURO-MARINA DI CAMEROTA,Centola-P-M.diC.
S08666,CEPRANO-FALVATERRA,Ceprano-Falvater
S07937,CERBARA,Cerbara
S78500,CERBERE,Cerbere
S00541,CERCENASCO,Cercenasco
S08530,CERCHIO,Cerchio
S06956,CERCINA,Cercina
S12200,CERDA,Cerda
S02364,CEREA,CEREA
S05417,CEREGNANO,Ceregnano
S04517,CERIALE,Ceriale
S01934,CERIANO LAGHETTO - SOLARO,Ceriano L.Solaro
S01927,CERIANO LAGHETTO PARCO DELLE GROANE,Ceriano L.Groane
S11103,CERIGNOLA CAMPAGNA,Cerignola
S01513,CERNUSCO-MERATE,Cernusco-Merate
S07969,CERQUETO,Cerqueto
S07300,CERRETO D'ESI,Cerreto d`Esi
S06803,CERTALDO,Certaldo
S01803,CERTOSA DI PAVIA,Certosa di Pavia
S11200,CERVARO,CERVARO
S05814,CERVIA-MILANO MARITTIMA,Cervia M.M.
S03207,CERVIGNANO-AQUILEIA-GRADO,CERVIGNANO A.G.
S00546,CERVIGNASCO,Cervignasco
S09015,CERVINARA,Cervinara
S04512,CERVO SAN BARTOLOMEO,Cervo S.Bartol.
S01112,CESANO BOSCONE,Cesano Boscone
S08319,CESANO DI ROMA,Cesano
S01086,CESANO MADERNO,Cesano Maderno
S01798,CESANO MADERNO PARCO DELLE GROANE,Cesano M.Groane
S01075,CESATE,Cesate
S09473,CESE,Cese
S05066,CESENA,Cesena
S05815,CESENATICO,Cesenatico
S07960,CESI,Cesi
S01772,CETO - CERVENO,Ceto-Cerveno
S11735,CETRARO,Cetraro
S00742,CEVA,CEVA
S00142,CHATILLON-SAINT-VINCENT,Chatillon S.V.
S00733,CHERASCO,Cherasco
S09510,CHIANCHE CEPPALONI,Chianche Ceppal.
S07201,CHIARAVALLE,Chiaravalle
S01713,CHIARI,Chiari
S08007,CHIARONE,Chiarone
S01301,CHIASSO,CHIASSO
